row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TRINITY_DN203383_c0_g1,2917.6347654966867,-1.0675206096766914,0.15261960250434223,-6.994649390770881,2.659230943828729e-12,5.756256045734052e-9
TRINITY_DN203423_c3_g1,179.63544207786052,-1.0676419957413572,0.24121192521091075,-4.426157598998611,9.592645204825804e-6,0.0057346696249298765
TRINITY_DN203477_c4_g1,50.97331113867285,-9.13611846862248,1.4920808778816161,-6.123071881729023,9.178825978021397e-10,1.364572761803488e-6
TRINITY_DN203550_c0_g2,10.222927412312304,-6.818512830184183,1.6427106356269017,-4.1507692726309395,3.31359673608821e-5,0.016931705719059914
TRINITY_DN203576_c0_g1,174.7471451401509,-1.3101820641432007,0.25616910732655607,-5.114520161375365,3.1453949524592435e-7,2.6938461557732626e-4
TRINITY_DN203705_c3_g1,113.9437251990145,-1.2173948570963118,0.2853225863157529,-4.266731466358849,1.98357679620755e-5,0.010960110313665006
TRINITY_DN203709_c1_g1,278.21445640393523,-1.4135719978812178,0.20737120725840977,-6.816626167970055,9.32033755371558e-12,1.8088020412189412e-8
TRINITY_DN203769_c14_g2,92.86410055669435,-1.9239497581782807,0.4329187265948568,-4.444136139157575,8.824571577018552e-6,0.005356786890904406
TRINITY_DN203814_c1_g1,136.2188792066363,-1.006135480911897,0.2568279083766846,-3.917547307344096,8.945449444620165e-5,0.03885530429493819
TRINITY_DN203884_c1_g1,200.30355908830416,-1.0901022253913741,0.22889973893932025,-4.76235678748569,1.913449866240347e-6,0.0013781141675569394
TRINITY_DN203926_c2_g1,339.3493246718327,-1.0980370782161801,0.20277314203917562,-5.415101167609467,6.125406234728245e-8,6.317234074482313e-5
TRINITY_DN204002_c0_g1,466.9913895975419,-1.1568657697400633,0.2259467278641047,-5.120081979836674,3.054028647655196e-7,2.6305346330134425e-4
TRINITY_DN204002_c0_g3,76.34123451012536,-1.6046124563093056,0.3620483214035079,-4.432039486024692,9.33459175703145e-6,0.00562306387213361
TRINITY_DN204022_c1_g1,632.0043875247756,-1.3076157113866926,0.2191973677556034,-5.965471779043596,2.4392820727285266e-9,3.336760011174821e-6
TRINITY_DN204156_c17_g2,48.937736090336124,-2.53263800910741,0.6351498053692939,-3.9874656147219683,6.678287977137054e-5,0.030557472315178226
TRINITY_DN204160_c1_g1,266.2250633343409,-1.4101154324394856,0.263686412679366,-5.347698495766407,8.907969440511512e-8,8.773525911730593e-5
TRINITY_DN204192_c0_g2,251.66166924864746,-1.6035613421077444,0.2922990430196927,-5.486030079132725,4.1106693268204655e-8,4.365098706205313e-5
TRINITY_DN204277_c1_g1,33.738538549553354,-2.8543364117287946,0.5682913105569847,-5.02266418420378,5.095960159188957e-7,4.200041322582759e-4
TRINITY_DN204277_c3_g2,51.56492931438453,-2.7152521211152494,0.49758024554903285,-5.456913021374522,4.844835251637838e-8,5.117120188313667e-5
TRINITY_DN204502_c10_g1,210.9963524728076,-1.1451645837699693,0.2715429219874556,-4.217250721868833,2.4729896168087313e-5,0.013255325284446506
TRINITY_DN204762_c4_g1,643.8616537599743,-1.5034638863617438,0.23592251848481005,-6.372701919331812,1.8572664917577204e-10,3.061482338461702e-7
TRINITY_DN204914_c4_g2,38.22301520979883,-1.8987697247026054,0.4858913136385317,-3.9078075104572747,9.313746077450866e-5,0.04023323844200412
TRINITY_DN204914_c5_g3,334.00139866669,-1.426603439950196,0.24254678267129823,-5.881766083385005,4.059117400125176e-9,5.243088748542671e-6
TRINITY_DN205006_c11_g3,144.1630165383154,-1.6859982766464867,0.3835799804718756,-4.395428235259805,1.105545851176539e-5,0.006500659106971087
TRINITY_DN205007_c0_g1,92.70327225758541,-1.5726721506607129,0.31222490074530124,-5.036985028761773,4.729217543773732e-7,3.9389782900586275e-4
TRINITY_DN205350_c7_g1,146.98255241536435,-1.1027086788750748,0.27551755834858116,-4.002317258778631,6.272511133208008e-5,0.028902190685052943
TRINITY_DN205435_c2_g1,100.31426237767664,-2.213555441804401,0.47000602021354476,-4.709632103858337,2.4816432492109724e-6,0.0017339465500368699
TRINITY_DN205511_c7_g1,208.0217565557205,-1.041508095981367,0.25517545214399756,-4.081537182478021,4.473881847234887e-5,0.02181366230423512
TRINITY_DN205522_c0_g1,687.2782652190463,-1.0081991130297496,0.19005195838268535,-5.304860426640052,1.1275923904105659e-7,1.070432966032091e-4
TRINITY_DN205572_c1_g1,1105.7514556221154,-1.4118512114334019,0.18482974162009738,-7.63865814591327,2.1949723443329532e-14,6.358366835959141e-11
TRINITY_DN205610_c8_g3,79.814057662767,-1.351756571466581,0.33768492560936225,-4.0030112952992996,6.254131501849767e-5,0.02885124600542435
TRINITY_DN205707_c0_g1,236.44648313927468,-1.0971417800035341,0.23156667019988203,-4.737908866835245,2.159348744883001e-6,0.0015383426936353378
TRINITY_DN205710_c2_g3,290.81014520007886,-1.735881866805881,0.21748864741561652,-7.98148265407456,1.445859004414443e-15,5.274212508853029e-12
TRINITY_DN205763_c14_g1,2513.8859604907234,-1.7951370216310314,0.40847203868636994,-4.394761089165667,1.1089464776846912e-5,0.006510937126499165
TRINITY_DN205950_c0_g2,9.24333062370627,-6.677044856841529,1.7005380157343122,-3.9264308089921194,8.621567809524563e-5,0.03769787701380384
TRINITY_DN206028_c16_g1,167.03225778906557,-1.244184415270949,0.25418494672958764,-4.894799756157721,9.840587633012613e-7,7.455437357047209e-4
TRINITY_DN206035_c2_g1,124.14493095244966,-1.4176468752577287,0.29079684932831873,-4.875042073296885,1.087852671748588e-6,8.163308611811218e-4
TRINITY_DN206155_c0_g1,421.20372115527704,-1.6687851731821506,0.18968200044194233,-8.797804585010851,1.3951871754778387e-18,7.138339288477607e-15
